H3MeK4_N,CaNA_N,class,grade
0.3382779,1.090740526,0,D
0.381637168,0.977876106,0,A
0.377352572,0.964711418,0,B
0.37368756,1.014794782,0,A
0.360229446,0.926386233,0,A
0.355771096,0.942386033,0,A
0.413902681,0.830387289,0,B
0.202951664,1.191461965,0,B
0.243175557,1.09679439,0,B
0.223539583,1.076818575,0,A
0.223865878,1.060774162,0,D
0.204378669,1.411081213,2,B
0.202893558,1.214261109,2,B
0.219076508,1.164981463,2,B
0.210307132,1.217768523,2,D
0.203836501,1.102545715,2,D
0.205688454,1.159540403,2,D
0.211382114,1.347194456,2,B
0.20685297,1.426625474,2,B
0.224332045,1.23676693,2,C
0.201804695,1.696719431,2,C
0.216351502,1.549870226,2,A
0.212855935,1.667700404,2,D
0.234284999,1.391810669,2,D
0.234244353,1.346312243,2,A
0.228731004,1.502662683,2,C
0.275355524,1.322394124,2,D
0.264687101,1.462324393,2,B
0.261267146,1.512083605,2,C
0.214610778,1.878443114,2,B
0.220930233,1.918362403,2,B
0.248434876,1.742708811,2,A
0.242669994,1.866500312,2,B
0.233313198,1.71987315,2,B
0.202260559,1.579317866,2,D
0.209649915,1.526632561,2,D
0.200978923,1.556887424,2,B
0.236705271,1.487827937,2,A
0.243763364,1.473509147,2,B
0.229322402,1.489269351,2,D
0.256182921,1.387618603,2,A
0.278945717,1.396454346,2,A
0.255019763,1.393201581,2,B
0.284144953,1.19827182,1,B
0.280088587,1.246106997,1,B
0.271971336,1.20970795,1,A
0.291233657,1.202732149,1,A
0.287197232,1.268831515,1,A
0.283627026,1.317276189,1,B
0.278089258,1.270127831,1,B
0.305088648,1.306009671,1,C
0.297424143,1.212726479,1,D
0.309417665,1.226107551,1,D
0.294801944,1.301133854,1,D
0.316425833,1.254792097,1,A
0.309433962,1.269433962,1,A
0.319396716,1.299732722,1,C
0.333270747,1.282951558,1,C
0.319762968,0.673695552,1,A
0.314763671,0.73400142,1,D
0.280835802,0.749727117,1,B
0.342216958,0.751653341,1,A
0.292793976,0.710708344,1,B
0.265749584,0.722597038,1,B
0.325829659,0.673938269,1,D
0.338325472,0.708726415,1,A
0.265521656,0.661403883,1,B
0.371375407,0.765855171,1,C
0.395820239,0.779384035,1,D
0.382081477,0.802673456,1,C
0.383317536,0.670900474,1,B
0.387954111,0.719502868,1,D
0.340367861,0.735140368,1,D
0.201123327,1.019478967,1,C
0.210668589,1.035021325,1,B
0.202164784,1.006387887,1,B
0.207662367,1.083568648,1,C
0.222488593,1.094037584,1,A
0.203440367,1.042966361,1,A
0.240371569,0.795637199,1,B
0.238153846,1.044512821,1,C
0.23614532,1.010570608,1,B
0.248014348,1.143991801,1,A
0.244876783,1.160311284,1,B
0.249186727,1.139492518,1,C
0.316394326,1.156401508,1,D
0.31385553,1.17314931,1,A
0.311863173,1.161208151,1,A
0.206422592,1.086092715,1,C
0.206731392,1.114174757,1,D
0.220642848,1.070943783,1,C
0.234800134,1.171313403,1,B
0.238465439,1.19553828,1,A
0.242424242,1.195530726,1,A
0.290640394,1.248661384,1,B
0.295246216,1.249840119,1,D
0.290695187,1.265026738,1,D
0.212443277,1.072008598,1,D
0.20907579,1.064742219,1,A
0.209049884,1.061592877,1,C
0.266265632,1.09260725,1,B
0.255998729,1.085174003,1,B
0.267451233,1.08350798,1,C
0.289239482,1.013754045,1,D
0.30262618,1.033237587,1,C
0.293752586,1.029168391,1,A
0.233241621,1.329914957,7,C
0.231234568,1.297777778,7,A
0.215877935,1.228155918,7,B
0.283292232,1.327527744,7,D
0.264407286,1.31054046,7,B
0.269946011,1.275344931,7,C
0.275503844,1.377103678,7,C
0.287720034,1.351215423,7,C
0.284309791,1.295746388,7,B
0.365311653,1.440108401,7,A
0.337151783,1.373860974,7,B
0.376429902,1.365522745,7,C
0.230607046,1.858736713,7,C
0.218988219,1.755024255,7,D
0.22039993,1.760042098,7,B
0.211157699,1.710225949,7,C
0.21754506,1.686972393,7,A
0.214421677,1.677079834,7,A
0.280546499,1.796615432,7,A
0.236000579,1.595138186,7,A
0.242415445,1.641602555,7,C
0.200735334,1.591999122,7,A
0.214449377,1.518545038,7,B
0.224101179,1.459002416,7,B
0.224863364,1.38657066,7,C
0.206498952,1.114705001,7,B
0.227568848,1.070772875,7,D
0.247709178,1.081718492,7,B
0.218505726,1.583348482,7,D
0.236429216,1.524797115,7,B
0.204958434,1.80004414,7,A
0.208883322,1.741015512,7,C
0.209077098,1.693505507,7,D
0.221633979,1.625195524,7,C
0.224878049,1.625243902,7,B
0.261771385,1.611657835,7,A
0.281511304,1.688138743,7,B
0.262849205,1.614755363,7,B
0.204785077,1.32255822,6,B
0.217553583,1.237459707,6,A
0.201373124,1.213941642,6,B
0.219787566,1.264948377,6,C
0.235606224,1.221194522,6,C
0.202733485,1.284453303,6,C
0.243266725,1.256395405,6,D
0.240085845,1.242231968,6,B
0.239039094,1.145506028,6,B
0.275637819,1.180715358,6,D
0.283852898,1.16074038,6,D
0.249970326,1.139347181,6,D
0.304811206,1.142204629,6,D
0.308483674,1.112718056,6,A
0.326086957,1.171784737,6,D
0.207990085,1.28045491,6,D
0.220804145,1.20285961,6,A
0.209683078,1.117062332,6,B
0.218359853,1.189840881,6,C
0.212190585,1.006295607,6,A
0.254777985,0.999856301,6,D
0.248065544,1.071612805,6,C
0.213899341,1.543273754,6,A
0.206128801,1.520110127,6,D
0.208852411,1.443353364,6,A
0.23307601,1.495249406,6,C
0.212621597,1.470285294,6,D
0.223079265,1.209073379,6,B
0.227768629,1.224166324,6,D
0.213177471,1.335069075,6,B
0.23609175,1.185527816,6,D
0.266446951,1.251869692,6,D
0.219620088,1.271922977,6,A
0.215560314,1.160778016,6,D
0.230900036,0.990525932,6,B
0.234254419,1.072068708,6,B
0.232154098,1.107893743,6,D
0.29021658,0.933980583,6,B
0.278403899,1.006853488,6,C
0.276162791,1.040544676,6,D
0.227372558,0.940527107,6,D
0.221327733,1.027476374,6,A
0.20709067,1.074200503,6,D
0.24111071,0.85712225,6,D
0.238032977,0.957071257,6,B
0.232964942,0.93244529,6,B
0.270820031,0.782176412,6,A
0.255582211,0.882450637,6,C
0.241814996,0.881029235,6,C
0.262620264,0.781327949,6,B
0.247164694,0.783653846,6,D
0.271693449,0.854758962,6,A
0.276836158,0.689265537,6,B
0.255963991,0.75483871,6,D
0.247632142,0.800336083,6,A
0.206861756,1.196037061,6,D
0.218096299,1.162520114,6,C
0.221993709,1.141422695,6,A
0.23522345,1.104757328,6,B
0.243714645,1.104494029,6,D
0.269866247,1.136585366,6,D
0.242514036,1.085620711,6,A
0.234914886,1.344585295,6,C
0.220442906,1.372285941,6,D
0.221094599,1.314824212,6,A
0.23414681,1.429285165,6,A
0.231451459,1.415601755,6,D
0.233004231,1.332487071,6,A
0.24950666,1.383078441,6,C
0.266186156,1.3622468,6,C
0.224613153,1.336073501,6,C
0.285181582,1.375972763,6,C
0.270857331,1.398058252,6,B
0.24691358,1.304633638,6,D
0.278201525,1.308912084,6,A
0.280629986,1.362446308,6,B
0.278823058,1.29703763,6,A
0.241063856,1.360293227,6,C
0.228564547,1.375361272,6,A
0.224226496,1.257854498,6,C
0.255319149,1.379201357,6,A
0.246278342,1.390945874,6,A
0.240103973,1.335982176,6,D
0.269950936,1.340742966,6,C
0.261535479,1.29691741,6,D
0.237008629,1.297315436,6,B
0.308111989,1.420244078,6,D
0.328326783,1.364823133,6,D
0.293434692,1.364478231,6,C
0.355213055,1.430825023,6,B
0.365353187,1.404031233,6,B
0.365278026,1.370999464,6,B
